dummyCell,vep,boutNo,boutLength,phase,center,meanMaize,relToAll,nHouse,fieldContention,modelledpop,greatkiva,plaza,oversizepit,greathouse,multiwalls,encwall,towers,reservoir
7137,16,1,23,0,0,0.9231787969584376,0.19864289880001282,1,141,2993.8947368421054,1,1,1,1,1,1,1,0
7137,16,1,23,1,0,0.8723795417816408,0.18072803654978348,1,84,3127.2,1,1,1,1,1,1,1,0
7281,6,1,18,0,0,0.6752692069562655,0.009477814629910507,1,17,776.3571428571429,0,0,0,0,0,0,1,0
7281,6,1,18,1,0,0.664331219262547,0.03788962728447389,1,18,834,0,0,0,0,0,0,1,0
7281,6,2,15,0,0,0.672868377632565,0.024966861563499577,1,32,1138.090909090909,0,0,0,0,0,0,1,0
7281,6,2,15,1,0,0.6830771800544527,0.03345621195104386,1,31,1250.2,0,0,0,0,0,0,1,0
7281,12,4,17,0,0,0.6517252404685621,0.012024949220093771,2,9,667.9230769230769,0,0,0,0,0,0,1,0
7281,12,4,17,1,0,0.6406796735796062,0.02702229442921553,2,9,646.8,1,0,0,0,0,0,1,0
7281,13,5,8,0,0,0.6801148960667271,0.04877406880602855,1,52,2966.8571428571427,0,1,0,1,0,0,1,0
7281,13,5,8,1,0,0.6739641053061332,0.043617330251201514,1,52,3106,0,1,0,1,0,0,1,0
7292,6,1,20,0,0,0.8674928198258083,0.16105141180257004,1,19,499.625,0,0,0,0,0,0,1,0
7292,6,1,20,1,0,0.8653715153535207,0.15098327596982325,1,19,677,0,0,0,0,0,0,1,0
7292,6,2,7,0,0,0.8056907256444296,0.12963309387365982,1,20,942.6666666666666,0,0,0,0,0,0,1,0
7292,6,2,7,1,0,0.7907705439461603,0.11422739757431882,1,17,783.5,0,0,0,0,0,0,1,0
7336,14,1,35,0,0,0.8747233776866018,0.23980867185636612,2.064516129032258,81,2745.032258064516,0,1,0,1,0,0,1,0
7336,14,1,35,1,0,0.8118536299274813,0.15648550448879114,1,87,2765.6,0,1,0,1,0,0,1,1
7338,14,1,32,0,0,0.1498552247868764,-0.4882399007691157,1,81,2925.75,0,1,0,0,0,0,1,0
7338,14,1,32,1,0,0.1498552247868764,-0.5055129006518138,1,87,2765.6,0,1,0,0,0,0,1,1
7372,10,1,42,0,0,0.873230623593636,0.21467847889052383,2.3421052631578947,61,865.8947368421053,1,1,1,0,0,0,1,0
7372,10,1,42,1,0,0.8711094764145938,0.2242028621110049,1.2,19,175,1,1,1,0,0,0,1,0
7372,14,2,32,0,0,0.853575234656319,0.21675086522577705,2.5357142857142856,77,2872.3571428571427,1,0,1,1,1,0,1,0
7372,14,2,32,1,0,0.7853618690855966,0.1328591415770517,1.2,87,2783.4,1,0,1,1,1,0,1,0
7430,12,1,27,0,0,0.7898857400613131,0.16016234536677743,1,9,638.9565217391304,1,0,1,0,0,0,1,0
7430,12,1,27,1,0,0.8036120368374718,0.19541603459252252,1,7,481.2,0,0,0,0,0,0,1,0
7430,13,2,20,0,0,0.8557675882212578,0.2253838154457269,1,52,2734.875,0,0,0,0,0,0,1,0
7430,13,2,20,1,0,0.8029054560968952,0.16109975364900403,1,59,3169.6,0,0,0,0,0,0,1,0
7433,11,1,15,0,0,0.7651869621733333,0.12136722907382927,2.1818181818181817,30,538.5454545454545,1,0,0,0,0,0,1,0
7433,11,1,15,1,0,0.7686249924428535,0.1144115699060036,1.4,36,870,1,0,0,0,0,0,1,0
7484,14,1,32,0,0,0.8610343593880877,0.22293923383209563,1,81,2925.75,0,0,0,0,0,0,1,0
7484,14,1,32,1,0,0.7995937274348351,0.14422560199614495,1,87,2765.6,1,0,1,0,0,0,1,1
7498,13,1,17,0,0,0.8284768231453434,0.19509093104757685,1,52,2947.153846153846,0,0,0,0,0,0,1,0
7498,13,1,17,1,0,0.8027336385942274,0.16006661326654495,1,59,3213.8,0,0,0,0,0,0,1,0
7511,13,1,9,0,0,0.8143246289222471,0.1732399690776102,1,59,2876.5,0,1,0,1,0,0,1,0
7511,13,1,9,1,0,0.8143246289222471,0.17089029810120981,1,71,2749.5,0,1,0,1,0,0,1,0
7557,8,1,37,0,1,0.7853557017291085,0.07939016923118232,19.454545454545453,85,619.6666666666666,1,1,1,0,0,0,1,0
7557,8,1,37,1,1,0.7708492824081915,0.11158364501042543,2.2,11,555.2,0,1,1,0,0,0,1,0
7557,10,2,41,0,1,0.7661664220044911,0.09323589865405899,6.675675675675675,61,873.8648648648649,1,1,1,0,0,0,1,0
7557,10,2,41,1,1,0.7841159217887455,0.1290501647525363,1,60,834.8,1,1,0,0,0,0,1,0
7557,14,3,39,0,1,0.7200499504697909,0.0654441812102019,30.771428571428572,87,2412.2285714285713,1,0,1,1,0,0,1,0
7557,14,3,39,1,1,0.7624816933165386,0.08614221005543024,2.8,31,1233.8,1,0,1,1,0,0,1,0
7557,17,4,45,0,1,0.792483751424175,0.0726630230349468,17.048780487804876,67,2330.121951219512,1,1,1,1,0,1,1,1
7557,17,4,45,1,1,0.7624923683911018,0.0525676466732673,2.2,52,2699.2,1,1,1,1,1,1,1,1
7577,16,1,46,0,0,0.5289160546184318,-0.1615735305825137,1,141,3230.4761904761904,1,0,0,0,0,0,1,1
7577,16,1,46,1,0,0.511919830715464,-0.1329427913071648,1,73,2959.2,1,0,0,0,0,0,1,1
7577,18,2,31,0,0,0.5202176520954751,-0.1844867230832506,1,88,2727.962962962963,0,0,0,0,1,1,1,0
7577,18,2,31,1,0,0.5345543393444631,-0.12639818102602035,1,110,3110.8,0,1,0,0,1,1,1,0
7597,14,1,12,0,0,0.8487835174672669,0.20780746101070097,1.625,61,2815.625,0,1,0,0,0,0,1,0
7597,14,1,12,1,0,0.8271393025660349,0.18020593769787083,1.4,87,2809.6,0,1,0,0,0,0,1,1
7709,18,1,66,0,0,0.7577128346144967,0.04690251314119048,1,82,2465.7419354838707,1,0,0,0,1,1,1,0
7709,18,1,66,1,0,0.7471405067751484,0.08657431987024125,1,106,3060,0,1,0,0,1,1,1,0
7720,13,1,17,0,0,0.6847178774791084,0.05133198538134179,1,52,2947.153846153846,0,0,0,0,0,0,1,0
