dummyCell,vep,log10_boutNo,log10_boutLength,center,std_nHouse,std_fieldContention,std_regionalPop,std_localCatchmentQuality,std_catchmentRelToRegion,greatkiva,plaza,oversizepit,greathouse,multiwalls,encwall,towers,reservoir
7836,17,0,1.568201724066995,0,-0.2269617118210826,0.41241663526104616,1.1485907951487808,0.381505620478533,0.39260138832944896,1,1,0,1,0,0,1,1
7852,13,0,1.2304489213782739,0,-0.2269617118210826,-0.258307988263461,1.1248237056388857,-1.8967171233404923,-1.7269009524341512,0,0,0,0,0,0,1,0
7870,12,0,1.4313637641589874,0,-0.2269617118210826,-1.4560305302715095,-1.187290833277774,-0.11559121445541128,0.08485790583991235,1,0,0,0,0,0,1,0
7870,14,0.3010299956639812,1.5314789170422551,0,0.3171077849794392,0.41241663526104616,0.9606130626010116,0.19535328909396885,0.30847140068559764,0,1,0,1,0,0,1,1
7907,16,0,1.6020599913279623,0,-0.2269617118210826,1.7059569806297386,1.3030235875247365,0.5651431018237397,0.40611523842819675,1,1,1,1,0,1,1,1
7969,14,0,1.505149978319906,0,-0.2269617118210826,0.41241663526104616,1.0099704324834444,-0.06803734057208974,0.053939397427688926,0,1,0,1,0,0,1,1
7979,16,0,1.6020599913279623,0,-0.2269617118210826,1.7059569806297386,1.3030235875247365,0.35302420569659115,0.19665380581012565,1,1,0,1,0,0,1,1
8013,6,0,1.1139433523068367,0,-0.1830851394984599,-1.2404404727100609,-1.0174421676610952,1.3428814678083432,1.3920087708871394,0,0,1,0,0,0,1,0
8013,17,0.3010299956639812,1.1760912590556813,0,-0.11178570947419794,-0.5936703000257146,0.2598228809509773,1.3775819719882973,1.0516600121457285,0,1,1,1,0,1,1,1
8013,18,0.47712125471966244,1.5314789170422551,0,0.45751281641183195,1.394549119707646,1.0119170887461382,1.1221077185534465,1.0425871249490557,1,1,1,1,1,1,1,1
8091,18,0,1.591064607026499,1,0.08017429443727647,-0.42598914414458783,0.5128984204447115,0.045838576897462804,-0.2661311193617683,1,1,1,1,1,1,1,1
8185,16,0,1.6020599913279623,0,-0.2269617118210826,1.7059569806297386,1.3030235875247365,0.26846874048808944,0.11315766660881725,1,1,0,1,0,0,1,1
8189,13,0,1.462397997898956,1,-0.2269617118210826,0.17287212685943645,0.8578862509909779,-1.0081618397353098,-0.8414111766138953,0,1,0,1,0,0,1,0
8189,17,0.3010299956639812,2.0569048513364727,1,-0.17354675421093324,1.7059569806297386,0.7575918209004594,-0.9704557216590362,-1.1148076205786395,1,1,0,1,0,0,1,1
8252,9,0,1.0791812460476249,0,-0.2269617118210826,-0.21039908658313908,-0.48265630176838425,1.2028972718533355,1.1641150861488918,1,0,0,0,0,0,1,0
8264,17,0,1.8260748027008264,0,-0.2269617118210826,1.7059569806297386,1.0941697398887849,-0.04582191659111649,-0.14732573306503588,1,1,1,1,0,1,1,1
