SITE_NO,SITE_ID,dummyCell
5MV28,8364,118482
5MV29,8365,118482
5MV30,8366,112254
5MV43,8377,23954
5DL608,16700,53919
5DL601,16701,70973
5MT1786,16714,10154
5MT2198,16716,39751
5MT8834,16722,24361
5MT8371,16731,116615
NA,16749,103081
NA,16806,103081
5MT8829,16807,127878
5MT8836,16812,18695
5MT8837,16814,44420
5MT2519,16816,97456
5MT10747,16855,58487
5MT14603,16866,49673
5MT14651,16899,123586
5MT14659,16918,38618
5MT14658,16930,33394
5MT14706,16985,85500
5MT14750,17031,118783
5MT14752,17032,28449
5MT14749,17042,19687
5MT14782,17059,117191
5MT14862,17100,33040
5MT14866,17102,118315
5MT14881,17125,126859
5MT14883,17126,87439
5MT14868,17143,78628
5MT14872,17145,76888
5MT14880,17149,73430
5MT14898,17165,50965
5MT14917,17168,52497
5MT14900,17186,109042
5MT14910,17191,63007
5MT14914,17193,23236
5MT14967,17216,72948
5MT14920,17221,53742
5MT14948,17236,16437
5MT14995,17247,92359
5MT15001,17250,92359
5MT14954,17257,89021
5MT14960,17260,60794
5MT14962,17261,82264
5MT15021,17271,93172
5MT15019,17272,79761
5MT15039,17301,49859
5MT15043,17313,36426
5MT15071,17328,83143
5MT15079,17332,39562
5MT15050,17356,78916
5MT15089,17371,40563
5MT15083,17374,70136
5MT15000,17393,32794
5MT15080,17397,21144
5MT15121,17409,77805
5MT15143,17433,80223
5MT15192,17492,43226
5MT15204,17498,29978
5MT15195,17509,43707
5MT15346,17634,26880
5MT15372,17660,74240
5MT15384,17676,18453
5MT15420,17708,125377
5MT15442,17719,67834
5MT15397,17734,18439
5MT15454,17742,108557
5MT15441,17745,36867
5MT15445,17747,71091
5MT15409,17756,36867
5MT15411,17757,37855
5MT15415,17759,17877
5MT15419,17769,73138
5MT14421,17793,129906
5DL1004,17831,16579
5DL1363,17862,14240
5DL1587,17900,118310
5DL1652,17903,32023
5DL271,17933,117646
5DL42,17973,38153
5DL498,18008,92833
5DL612,18102,93783
5DL912,18169,35230
5DL947,18171,91167
5LP3394,18200,77930
5LP4280,18206,108789
5LP4284,18233,21288
5LP4287,18235,116617
5MT10181,18287,30597
5MT11211,18381,115410
5MT11213,18383,32793
5MT10816,18403,54614
5MT110,18426,22416
5MT11100,18445,8122
5MT11131,18449,41318
5MT11132,18450,57026
5MT11142,18459,63791
5MT11159,18476,64935
5MT11169,18486,76937
5MT11192,18510,86337
5MT11194,18512,54819
5MT11200,18518,42779
5MT11224,18530,17888
5MT11227,18533,8488
5MT11253,18562,21049
5MT11256,18565,122590
5MT11258,18567,98533
5MT11273,18584,46362
5MT11287,18599,85236
5MT11304,18617,67239
5MT1263,18637,13973
5MT11398,18648,56440
5MT11452,18668,55553
5MT11497,18695,27379
5MT115,18696,29366
5MT11565,18735,39513
5MT116,18737,78803
5MT11667,18746,126367
5MT11885,18792,128178
5MT119,18793,118301
5MT1193,18796,89189
5MT1194,18797,12191
5MT1195,18799,62646
5MT11950,18800,55440
5MT11958,18801,19187
5MT1196,18803,32615
5MT1200,18810,78953
5MT12000,18811,25058
5MT12237,18870,35214
5MT1257,18960,127956
5MT1259,18962,29511
5MT12635,18968,92511
5MT1266,18973,7959
5MT1267,18974,7959
5MT12736,18984,88257
5MT12769,18993,126853
5MT1292,19060,103075
5MT13660,19125,39954
5MT13882,19155,110998
5MT13885,19157,110998
5MT140,19160,99209
5MT142,19162,78803
5MT14261,19177,32265
5MT14264,19180,28882
5MT143,19181,24714
5MT14416,19199,16042
5MT14425,19206,60460
5MT14432,19212,27208
5MT14443,19220,77509
5MT14468,19240,89977
5MT14491,19260,41749
5MT14513,19281,73490
